term_id,L,S,J,Jʹ,K,Q,coefficient
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,0.0,-0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,4.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,5.0,5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-6.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,6.0,6.0,70600000.0
