term_id,L,S,term_lower_id,Ll,transition_id,J,Jʹ,K,Q,Jʹʹ,Jʹʹʹ,Kʹ,Qʹ,Kr,Qr,coefficient
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,-31023199692.968784
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,-26866879040.788567
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,1.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,2.0,-2.0,-42480265694.56587
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,30038083939.233795
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,-1.0,-30038083939.233795
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.0,98103971336.01772
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,30038083939.233795
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,-17342495848.257202
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,2.0,-2.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,-2.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,34684991696.51441
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,34684991696.51441
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,-2.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-2.0,37995504718.120636
2p3_L=1.0_S=1.0,1,1,2s3_L=0.0_S=1.0,0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,-1.0,-0.0
